taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors
deepseek_v32,2025-09-29,2025-09-29,exact_day,77,63,deepseek_v3,2024-12-26,277,59,1,59,4,2.00,5.90,4.00,11.90,11.90,0.00,qk_norm|qk_norm_detail|norm_scheme|dual_attention_modules,deepseek_v3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
lfm2_moe,2025-10-07,2025-10-07,exact_day,78,60,lfm2,2025-07-10,89,54,2,58,2,4.00,5.80,2.00,11.80,11.80,0.00,moe_distribution|router_activation,deepseek_v3:expert_bias_correction|has_moe|moe_schedule_type|moe_subtype;lfm2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
nanochat,2025-10-13,2025-10-13,exact_day,79,50,rwkv7,2024-09-23,385,27,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,ffn_projection_style,openelm:attention_family|attention_output_gating|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_lora_present|modality|norm_scheme|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|windowed_rope_scope;rwkv7:altup|attention_pattern|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_reuse_attention|laurel|lm_head_bias|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|window_schedule_detail
minimax,2025-10-27,2025-10-27,exact_day,80,61,dots1,2025-06-06,143,32,2,61,0,4.00,6.10,0.00,10.10,10.10,0.00,,dots1:attention_family|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_reuse_attention|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|router_activation|router_activation_configurable|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option;phixtral:altup|attention_output_gating|bitlinear_weights|ffn_core|gated_delta_net|has_aux_relu2_gate|has_moe|has_shared_expert|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|tie_embeddings_default|windowed_rope_scope
kimi_linear,2025-10-30,2025-10-30,exact_day,81,60,qwen3_next,2025-09-09,51,29,2,56,4,4.00,5.60,4.00,13.60,13.60,0.00,attention_family|hybrid_block_schedule|rope_partition_detail|router_activation,longcat_flash:altup|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|global_plus_linear_attention_mix|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|uses_logit_scale|uses_logit_softcap|windowed_rope_scope;qwen3_next:attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|lm_head_bias|modality|moe_distribution|moe_subtype|output_head_connection|periodic_no_rope_layers|q_lora_present|residual_update_rule|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|zero_expert_option
olmo3,2025-11-20,2025-11-20,exact_day,82,51,gpt_oss,2025-08-05,107,29,2,50,1,4.00,5.00,1.00,10.00,10.00,0.00,ffn_core,exaone4:altup|bitlinear_weights|cross_layer_kv_sharing|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|stack_topology|tie_embeddings_configurable|window_schedule_detail;gpt_oss:attention_family|attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|laurel|optional_nope|positional_encoding|q_lora_present|residual_update_rule|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
afmoe,2025-12-01,2025-12-01,exact_day,83,63,gpt_oss,2025-08-05,118,30,2,58,5,4.00,5.80,5.00,14.80,14.80,0.00,window_schedule_detail|windowed_rope_scope|residual_scheme|moe_subtype|grouped_expert_selection,bailing_moe_linear:altup|attention_output_gating|bitlinear_weights|block_norm_variant|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|has_shared_expert|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|router_activation|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap;gpt_oss:attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|positional_encoding|rglru_recurrence|rope_partition_detail|router_activation_configurable|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|zero_expert_option
ministral3,2025-12-02,2025-12-02,exact_day,84,50,llama,2023-02-27,1009,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,rope_parameterization,llama:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
mimo_v2_flash,2025-12-16,2025-12-16,exact_day,85,62,gpt_oss,2025-08-05,133,31,2,61,1,4.00,6.10,1.00,11.10,11.10,0.00,rope_parameterization,glm4_moe:attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|grouped_expert_selection|has_moe|has_shared_expert|kv_layout|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|shared_branch_merge_mode|stack_topology|uses_logit_scale|uses_logit_softcap;gpt_oss:altup|attention_pattern|attention_projection|coefficient_mix_shared_routed|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|ngram_memory|norm_scheme|optional_nope|q_lora_present|qk_norm|residual_scheme|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope|zero_expert_option
telechat3,2025-12-24,2025-12-24,exact_day,86,50,internlm3,2025-01-15,343,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,positional_encoding|ffn_core,internlm3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
iquestloopcoder,2025-12-30,2025-12-30,exact_day,87,50,llama,2023-02-27,1037,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,ffn_activation_core|tie_embeddings_default,llama:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
youtu_llm,2025-12-31,2025-12-31,exact_day,88,50,lille-130m,2025-08-31,122,26,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,lille-130m:altup|bitlinear_weights|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap;minicpm3:attention_family|attention_output_gating|attention_pattern|attention_projection|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|kv_layout|kv_lora_present|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|q_lora_present|residual_scheme|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail|windowed_rope_scope
exaone_moe,2026-01-05,2026-01-05,exact_day,89,63,afmoe,2025-12-01,35,35,2,63,0,4.00,6.30,0.00,10.30,10.30,0.00,,afmoe:altup|attention_family|attention_pattern|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|expert_bias_correction|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|optional_nope|output_head_connection|periodic_no_rope_layers|qk_norm|qk_norm_detail|rglru_recurrence|router_activation|shared_branch_merge_mode|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope;ministral3:attention_output_gating|attention_projection|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|kv_layout|kv_reuse_attention|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|window_schedule_detail|zero_expert_option
glm4_moe_lite,2026-01-19,2026-01-19,exact_day,90,62,deepseek_v3,2024-12-26,389,61,1,61,1,2.00,6.10,1.00,9.10,9.10,0.00,tie_embeddings_configurable,deepseek_v3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
longcat_flash_ngram,2026-01-29,2026-01-29,exact_day,91,55,longcat_flash,2025-09-01,150,38,2,52,3,4.00,5.20,3.00,12.20,12.20,0.00,attention_pattern|positional_encoding|ngram_memory,apertus:attention_output_gating|expert_bias_correction|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|output_head_connection|projection_bias_scheme|residual_scheme|shared_expert_configurable|state_update_rule|window_schedule_detail;longcat_flash:altup|attention_family|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|zero_expert_option
step3p5,2026-02-01,2026-02-01,exact_day,92,63,afmoe,2025-12-01,62,36,2,57,6,4.00,5.70,6.00,15.70,15.70,0.00,kv_layout|positional_encoding|norm_scheme|block_norm_variant|has_aux_silu_gate|moe_schedule_type,afmoe:attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_shared_expert|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|tie_embeddings_configurable|uses_logit_softcap|zero_expert_option;gpt_oss:altup|attention_family|attention_pattern|coefficient_mix_shared_routed|expert_bias_correction|ffn_activation_core|ffn_core|grouped_expert_selection|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|moe_distribution|output_head_connection|residual_scheme|rope_partition_detail|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope
qwen3_5,2026-02-14,2026-02-14,exact_day,93,63,qwen3_next,2025-09-09,158,36,2,60,3,4.00,6.00,3.00,13.00,13.00,0.00,modality|rope_partition_detail|rope_parameterization,gpt_oss:altup|attention_projection|chunked_kv_cache|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|grouped_expert_selection|kv_layout|kv_lora_present|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|q_lora_present|residual_scheme|residual_update_rule|router_activation|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|windowed_rope_scope|zero_expert_option;qwen3_next:attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|norm_scheme|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|qk_norm_detail|rglru_recurrence|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail
